Date,Cumulative_Confirmed_Cases,New_Confirmed_Cases,Cumulative_Deaths,New_Deaths
Date inconnue,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,1,1,0,0
3/7/2020,1,0,0,0
3/8/2020,1,0,0,0
3/9/2020,1,0,0,0
3/10/2020,1,0,0,0
3/11/2020,3,2,0,0
3/12/2020,5,2,0,0
3/13/2020,6,1,0,0
3/14/2020,7,1,1,1
3/15/2020,9,2,1,0
3/16/2020,14,5,1,0
3/17/2020,18,4,2,1
3/18/2020,26,8,3,1
3/19/2020,74,48,3,0
3/20/2020,149,75,4,1
3/21/2020,288,139,5,1
3/22/2020,459,171,6,1
3/23/2020,717,258,7,1
3/24/2020,937,220,10,3
3/25/2020,1186,249,18,8
3/26/2020,1530,344,24,6
3/27/2020,1963,433,27,3
3/28/2020,2368,405,41,14
3/29/2020,2868,500,51,10
3/30/2020,3471,603,65,14
3/31/2020,4224,753,80,15
4/1/2020,4798,574,94,14
4/2/2020,5513,715,111,17
4/3/2020,6126,613,140,29
4/4/2020,6749,623,188,48
4/5/2020,7255,506,226,38
4/6/2020,7867,612,274,48
4/7/2020,8687,820,326,52
4/8/2020,9240,553,382,56
4/9/2020,10048,808,447,65
4/10/2020,10611,563,517,70
4/11/2020,11263,652,581,64
